SystemSize,SystemSizeID,SystemType,SystemTypeID,SolarPanel,SolarPanelID,Inverter,InverterID,Battery ,BatteryID,BatteryCost,NoOfBatteries ,BatteryTotalCost,InvetrerCost,NoOfInveters ,PanelCost,NoOfPanels,TotalInveterCost,TotalPanelCost,TotalSystemCost
1kW,1,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,74000,1,42000,2,74000,84000,158000
2kW,2,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,110000,1,42000,4,110000,168000,278000
3.5kW,3,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,210000,1,42000,7,210000,294000,504000
4kW,4,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,300000,1,42000,8,300000,336000,636000
5kW,5,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,410000,1,42000,10,410000,420000,830000
7.5kW,6,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,520000,1,42000,17,520000,714000,1234000
8kW,7,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,560000,1,42000,18,560000,756000,1316000
10kW,8,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,620000,1,42000,20,620000,840000,1460000
15kW,9,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,520000,2,42000,30,1040000,1260000,2300000
20kW,10,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,620000,2,42000,40,1240000,1680000,2920000
30kW,11,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,620000,3,42000,60,1860000,2520000,4380000
40kW,12,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,620000,4,42000,80,2480000,3360000,5840000
50kW,13,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,620000,5,42000,100,3100000,4200000,7300000
60kW,14,On Grid,1,JA Solar China,1,Goodwee China,1,No battery ,1,0,0,0,620000,6,42000,120,3720000,5040000,8760000
1kW,1,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,94000,1,42000,2,94000,84000,178000
2kW,2,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,140000,1,42000,4,140000,168000,308000
3.5kW,3,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,260000,1,42000,7,260000,294000,554000
4kW,4,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,370000,1,42000,8,370000,336000,706000
5kW,5,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,490000,1,42000,10,490000,420000,910000
7.5kW,6,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,580000,1,42000,17,580000,714000,1294000
8kW,7,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,650000,1,42000,18,650000,756000,1406000
10kW,8,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,780000,1,42000,20,780000,840000,1620000
15kW,9,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,580000,2,42000,30,1160000,1260000,2420000
20kW,10,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,780000,2,42000,40,1560000,1680000,3240000
30kW,11,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,780000,3,42000,60,2340000,2520000,4860000
40kW,12,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,780000,4,42000,80,3120000,3360000,6480000
50kW,13,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,780000,5,42000,100,3900000,4200000,8100000
60kW,14,On Grid,1,JA Solar China,1,SMA Germany ,2,No battery ,1,0,0,0,780000,6,42000,120,4680000,5040000,9720000
1kW,1,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,91000,1,42000,2,91000,84000,175000
2kW,2,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,130000,1,42000,4,130000,168000,298000
3.5kW,3,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,220000,1,42000,7,220000,294000,514000
4kW,4,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,310000,1,42000,8,310000,336000,646000
5kW,5,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,410000,1,42000,10,410000,420000,830000
7.5kW,6,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,540000,1,42000,17,540000,714000,1254000
8kW,7,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,640000,1,42000,18,640000,756000,1396000
10kW,8,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,1,42000,20,760000,840000,1600000
15kW,9,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,540000,2,42000,30,1080000,1260000,2340000
20kW,10,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,2,42000,40,1520000,1680000,3200000
30kW,11,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,3,42000,60,2280000,2520000,4800000
40kW,12,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,4,42000,80,3040000,3360000,6400000
50kW,13,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,5,42000,100,3800000,4200000,8000000
60kW,14,On Grid,1,JA Solar China,1,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,6,42000,120,4560000,5040000,9600000
1kW,1,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,73000,1,42000,2,73000,84000,157000
2kW,2,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,105000,1,42000,4,105000,168000,273000
3.5kW,3,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,216000,1,42000,7,216000,294000,510000
4kW,4,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,340000,1,42000,8,340000,336000,676000
5kW,5,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,420000,1,42000,10,420000,420000,840000
7.5kW,6,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,540000,1,42000,17,540000,714000,1254000
8kW,7,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,580000,1,42000,18,580000,756000,1336000
10kW,8,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,630000,1,42000,20,630000,840000,1470000
15kW,9,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,580000,2,42000,30,1160000,1260000,2420000
20kW,10,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,630000,2,42000,40,1260000,1680000,2940000
30kW,11,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,630000,3,42000,60,1890000,2520000,4410000
40kW,12,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,630000,4,42000,80,2520000,3360000,5880000
50kW,13,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,630000,5,42000,100,3150000,4200000,7350000
60kW,14,On Grid,1,JA Solar China,1,Growatt China,4,No battery ,1,0,0,0,630000,6,42000,120,3780000,5040000,8820000
1kW,1,On Grid,1,Jinko Solar China,2,Goodwee China,1,No battery ,1,0,0,0,74000,1,46000,2,74000,92000,166000
2kW,2,On Grid,1,Jinko Solar China,2,Goodwee China,1,No battery ,1,0,0,0,110000,1,46000,4,110000,184000,294000
3.5kW,3,On Grid,1,Jinko Solar China,2,Goodwee China,1,No battery ,1,0,0,0,210000,1,46000,7,210000,322000,532000
4kW,4,On Grid,1,Jinko Solar China,2,Goodwee China,1,No battery ,1,0,0,0,300000,1,46000,8,300000,368000,668000
5kW,5,On Grid,1,Jinko Solar China,2,Goodwee China,1,No battery ,1,0,0,0,410000,1,46000,10,410000,460000,870000
7.5kW,6,On Grid,1,Jinko Solar China,2,Goodwee China,1,No battery ,1,0,0,0,520000,1,46000,17,520000,782000,1302000
